ID,rows,cols,nonzeros,sparsity,redundancy,size,constructor_time,scalar_time,spmv_time,spmm_time,sum_time
0, 10000, 100, 10000.000000, 0.010000, 1.000000, 44424.000000, 7109002, 1434315, 116504, 3125809972, 4666723172467343360
0, 10000, 100, 10000.000000, 0.010000, 1.000000, 44424.000000, 6809641, 1352, 118137, 3167247966, 4666723172467343360
0, 10000, 100, 10000.000000, 0.010000, 1.000000, 44424.000000, 6816905, 1282, 117856, 3029442737, 4666723172467343360
0, 10000, 100, 10000.000000, 0.010000, 1.000000, 44424.000000, 6348394, 1373, 139647, 3272559556, 4666723172467343360
0, 10000, 100, 10000.000000, 0.010000, 1.000000, 44424.000000, 6122389, 1353, 257283, 3052556643, 4666723172467343360
0, 10000, 100, 10000.000000, 0.010000, 1.000000, 44424.000000, 6086452, 1492, 259196, 2849340203, 4666723172467343360
0, 10000, 100, 10000.000000, 0.010000, 1.000000, 44424.000000, 6230768, 1332, 259517, 2752751500, 4666723172467343360
0, 10000, 100, 10000.000000, 0.010000, 1.000000, 44424.000000, 6727700, 1273, 259126, 2753622550, 4666723172467343360
0, 10000, 100, 10000.000000, 0.010000, 1.000000, 44424.000000, 6078078, 1272, 255500, 3086887631, 4666723172467343360
0, 10000, 100, 10000.000000, 0.010000, 1.000000, 44424.000000, 6280418, 1303, 182696, 3047217474, 4666723172467343360
0, 10000, 100, 10000.000000, 0.010000, 1.000000, 44424.000000, 178528, 11018886, 67975, 811329621, 94691338094524
0, 10000, 100, 10000.000000, 0.010000, 1.000000, 44424.000000, 174801, 16911, 9217, 768649896, 94691338094524
0, 10000, 100, 10000.000000, 0.010000, 1.000000, 44424.000000, 175773, 1373, 9087, 800526363, 94691338094524
0, 10000, 100, 10000.000000, 0.010000, 1.000000, 44424.000000, 173008, 1372, 9237, 889893948, 94691338094524
0, 10000, 100, 10000.000000, 0.010000, 1.000000, 44424.000000, 172928, 1402, 9207, 870453280, 94691338094524
0, 10000, 100, 10000.000000, 0.010000, 1.000000, 44424.000000, 188887, 1393, 9307, 763414998, 94691338094524
0, 10000, 100, 10000.000000, 0.010000, 1.000000, 44424.000000, 198835, 1243, 9087, 750902308, 94691338094524
0, 10000, 100, 10000.000000, 0.010000, 1.000000, 44424.000000, 202271, 1322, 9127, 755423715, 94691338094524
0, 10000, 100, 10000.000000, 0.010000, 1.000000, 44424.000000, 204245, 1393, 8986, 762499095, 94691338094524
0, 10000, 100, 10000.000000, 0.010000, 1.000000, 44424.000000, 202772, 1343, 8636, 776371864, 94691338094524
1, 10000, 100, 10000.000000, 0.010000, 0.010278, 161976.000000, 1810646, 19476, 10970, 759365588, 94691338094524
1, 10000, 100, 10000.000000, 0.010000, 0.010278, 161976.000000, 1880314, 2946, 12483, 771282753, 94691338094524
1, 10000, 100, 10000.000000, 0.010000, 0.010278, 161976.000000, 1871959, 2835, 12894, 754849160, 94691338094524
1, 10000, 100, 10000.000000, 0.010000, 0.010278, 161976.000000, 1635846, 2765, 12743, 758906274, 94691338094524
1, 10000, 100, 10000.000000, 0.010000, 0.010278, 161976.000000, 1775513, 2765, 12704, 748400562, 94691338094524
1, 10000, 100, 10000.000000, 0.010000, 0.010278, 161976.000000, 1767848, 2725, 13004, 782961080, 94691338094524
1, 10000, 100, 10000.000000, 0.010000, 0.010278, 161976.000000, 1628993, 2896, 12753, 772298460, 94691338094524
1, 10000, 100, 10000.000000, 0.010000, 0.010278, 161976.000000, 1767518, 2795, 12653, 886685714, 94691338094524
1, 10000, 100, 10000.000000, 0.010000, 0.010278, 161976.000000, 1808503, 2765, 12824, 843513954, 94691338094524
1, 10000, 100, 10000.000000, 0.010000, 0.010278, 161976.000000, 1575274, 2865, 12603, 943801242, 94691338094524
0, 10000, 100, 10000.000000, 0.010000, 1.000000, 44424.000000, 200759, 1773, 12894, 806383153, 94195151644572
0, 10000, 100, 10000.000000, 0.010000, 1.000000, 44424.000000, 197302, 1412, 10409, 883321052, 94195151644572
0, 10000, 100, 10000.000000, 0.010000, 1.000000, 44424.000000, 206109, 1242, 10339, 751257641, 94195151644572
0, 10000, 100, 10000.000000, 0.010000, 1.000000, 44424.000000, 209004, 1192, 10570, 752601901, 94195151644572
0, 10000, 100, 10000.000000, 0.010000, 1.000000, 44424.000000, 207131, 1162, 10719, 757862937, 94195151644572
0, 10000, 100, 10000.000000, 0.010000, 1.000000, 44424.000000, 214103, 1132, 10229, 770777215, 94195151644572
0, 10000, 100, 10000.000000, 0.010000, 1.000000, 44424.000000, 205057, 1142, 10570, 892227896, 94195151644572
0, 10000, 100, 10000.000000, 0.010000, 1.000000, 44424.000000, 211078, 1412, 10509, 794748417, 94195151644572
0, 10000, 100, 10000.000000, 0.010000, 1.000000, 44424.000000, 209054, 1162, 10149, 880682004, 94195151644572
0, 10000, 100, 10000.000000, 0.010000, 1.000000, 44424.000000, 231646, 1222, 10399, 756727832, 94195151644572
1, 10000, 100, 10000.000000, 0.010000, 0.010278, 161976.000000, 1524301, 167437, 10950, 838482820, 94195151644572
1, 10000, 100, 10000.000000, 0.010000, 0.010278, 161976.000000, 1658317, 38982, 11712, 893324812, 94195151644572
1, 10000, 100, 10000.000000, 0.010000, 0.010278, 161976.000000, 1749875, 79907, 12373, 828251683, 94195151644572
1, 10000, 100, 10000.000000, 0.010000, 0.010278, 161976.000000, 1809504, 2695, 11841, 918256128, 94195151644572
1, 10000, 100, 10000.000000, 0.010000, 0.010278, 161976.000000, 1799536, 2705, 12043, 846021651, 94195151644572
1, 10000, 100, 10000.000000, 0.010000, 0.010278, 161976.000000, 1645613, 2705, 11711, 841129142, 94195151644572
1, 10000, 100, 10000.000000, 0.010000, 0.010278, 161976.000000, 1541051, 2635, 12032, 914837518, 94195151644572
1, 10000, 100, 10000.000000, 0.010000, 0.010278, 161976.000000, 1683523, 2735, 11872, 826507407, 94195151644572
1, 10000, 100, 10000.000000, 0.010000, 0.010278, 161976.000000, 2109456, 2715, 12032, 888587028, 94195151644572
1, 10000, 100, 10000.000000, 0.010000, 0.010278, 161976.000000, 1590953, 2675, 11982, 752499713, 94195151644572
0, 10000, 100, 10000.000000, 0.010000, 1.000000, 44424.000000, 163100, 2715, 4594111, 734597221, 93827264534556
0, 10000, 100, 10000.000000, 0.010000, 1.000000, 44424.000000, 156918, 1202, 205688, 744618803, 93827264534556
0, 10000, 100, 10000.000000, 0.010000, 1.000000, 44424.000000, 155175, 1383, 104172, 825053577, 93827264534556
0, 10000, 100, 10000.000000, 0.010000, 1.000000, 44424.000000, 159273, 1162, 10599, 834468495, 93827264534556
0, 10000, 100, 10000.000000, 0.010000, 1.000000, 44424.000000, 178188, 1152, 9237, 747373916, 93827264534556
0, 10000, 100, 10000.000000, 0.010000, 1.000000, 44424.000000, 180231, 1272, 8906, 771325601, 93827264534556
0, 10000, 100, 10000.000000, 0.010000, 1.000000, 44424.000000, 178358, 1082, 9237, 756262015, 93827264534556
0, 10000, 100, 10000.000000, 0.010000, 1.000000, 44424.000000, 177366, 1373, 9337, 746920292, 93827264534556
0, 10000, 100, 10000.000000, 0.010000, 1.000000, 44424.000000, 177987, 1062, 9267, 740899390, 93827264534556
0, 10000, 100, 10000.000000, 0.010000, 1.000000, 44424.000000, 177927, 1142, 9127, 721561029, 93827264534556
